Shift,Age,Combination of Primary and Highlight Color,Location,Specific Location,Running,Chasing,Climbing,Eating,Foraging,Kuks,Quaas,Moans,Tail flags,Tail twitches,Approaches,Indifferent,Runs from
PM,Adult,Cinnamon+Gray,Ground Plane,On a rock,not running,not chasing,not climbing,not eating,foraging,not kukking,not quaaing,not moaning,not flagging tail,twitching tail,not approaching human,indifferent to human presence,not running from human
AM,Adult,Cinnamon+White,,,not running,not chasing,not climbing,eating,foraging,not kukking,not quaaing,not moaning,not flagging tail,not twitching tail,not approaching human,indifferent to human presence,not running from human
PM,Adult,Gray+White,Ground Plane,,not running,not chasing,not climbing,not eating,foraging,not kukking,not quaaing,not moaning,not flagging tail,not twitching tail,not approaching human,indifferent to human presence,not running from human
PM,Adult,Gray+Cinnamon,Ground Plane,,not running,not chasing,not climbing,not eating,foraging,not kukking,not quaaing,not moaning,not flagging tail,not twitching tail,not approaching human,not indifferent to human presence,not running from human
PM,Adult,Gray+,Above Ground,,not running,not chasing,climbing,not eating,not foraging,not kukking,not quaaing,not moaning,not flagging tail,not twitching tail,not approaching human,indifferent to human presence,not running from human
PM,Adult,Gray+,Above Ground,,not running,chasing,not climbing,not eating,not foraging,not kukking,not quaaing,not moaning,not flagging tail,not twitching tail,not approaching human,not indifferent to human presence,not running from human
PM,Adult,Gray+White,Ground Plane,,not running,not chasing,not climbing,not eating,foraging,not kukking,not quaaing,not moaning,not flagging tail,twitching tail,not approaching human,indifferent to human presence,not running from human
PM,Adult,"Gray+Cinnamon, White",Ground Plane,,not running,not chasing,not climbing,eating,foraging,not kukking,not quaaing,not moaning,flagging tail,not twitching tail,not approaching human,indifferent to human presence,not running from human
PM,Adult,"Gray+Cinnamon, White",Ground Plane,,not running,not chasing,not climbing,not eating,foraging,not kukking,not quaaing,not moaning,not flagging tail,not twitching tail,not approaching human,indifferent to human presence,not running from human
PM,Adult,Gray+,Ground Plane,,not running,not chasing,not climbing,not eating,foraging,not kukking,not quaaing,not moaning,not flagging tail,not twitching tail,not approaching human,indifferent to human presence,not running from human
AM,Adult,Gray+White,Ground Plane,,not running,not chasing,not climbing,not eating,foraging,not kukking,not quaaing,not moaning,not flagging tail,not twitching tail,not approaching human,indifferent to human presence,not running from human
PM,Adult,Gray+Cinnamon,Ground Plane,,not running,not chasing,not climbing,not eating,not foraging,not kukking,not quaaing,not moaning,flagging tail,not twitching tail,not approaching human,not indifferent to human presence,running from humans
AM,Adult,Cinnamon+,Ground Plane,,running,not chasing,not climbing,eating,foraging,not kukking,not quaaing,not moaning,not flagging tail,twitching tail,approaching human,not indifferent to human presence,not running from human
AM,Adult,Gray+White,Above Ground,trash can,not running,not chasing,not climbing,eating,not foraging,not kukking,not quaaing,not moaning,flagging tail,not twitching tail,not approaching human,not indifferent to human presence,running from humans
PM,Adult,Gray+Cinnamon,Ground Plane,,running,not chasing,not climbing,not eating,not foraging,not kukking,not quaaing,not moaning,not flagging tail,not twitching tail,not approaching human,indifferent to human presence,not running from human
PM,Adult,Gray+White,Ground Plane,,running,chasing,not climbing,eating,not foraging,not kukking,not quaaing,not moaning,not flagging tail,twitching tail,not approaching human,indifferent to human presence,not running from human
PM,Adult,Cinnamon+,Ground Plane,,running,not chasing,not climbing,not eating,not foraging,not kukking,not quaaing,not moaning,not flagging tail,not twitching tail,not approaching human,not indifferent to human presence,running from humans
AM,Adult,Gray+,Ground Plane,,running,chasing,not climbing,not eating,not foraging,kukking,not quaaing,not moaning,not flagging tail,not twitching tail,not approaching human,not indifferent to human presence,running from humans
PM,Adult,Gray+Cinnamon,Above Ground,,not running,not chasing,climbing,not eating,not foraging,not kukking,not quaaing,not moaning,not flagging tail,not twitching tail,not approaching human,not indifferent to human presence,not running from human
AM,Adult,Gray+,Above Ground,,not running,not chasing,climbing,not eating,not foraging,not kukking,not quaaing,not moaning,not flagging tail,not twitching tail,not approaching human,not indifferent to human presence,not running from human
PM,Adult,"Cinnamon+Gray, White",Ground Plane,,running,not chasing,not climbing,not eating,foraging,not kukking,not quaaing,not moaning,not flagging tail,not twitching tail,not approaching human,not indifferent to human presence,running from humans
AM,Adult,Cinnamon+,Ground Plane,Under bench,not running,not chasing,not climbing,not eating,foraging,not kukking,not quaaing,not moaning,not flagging tail,not twitching tail,not approaching human,not indifferent to human presence,running from humans
PM,Adult,Gray+,Ground Plane,,not running,not chasing,not climbing,not eating,foraging,not kukking,not quaaing,not moaning,not flagging tail,not twitching tail,not approaching human,indifferent to human presence,not running from human
